algorithm,problem_id,run_id,evaluations,fitness
MultiObjective,2200,17,30000,-482.0
MultiObjective,2200,17,50000,-138.0
MultiObjective,2200,17,70000,-11.0
MultiObjective,2200,17,100000,805.29
MultiObjective,2200,18,100,-1921.0
MultiObjective,2200,18,200,-1889.0
MultiObjective,2200,18,500,-1836.0
MultiObjective,2200,18,1000,-1810.0
MultiObjective,2200,18,2000,-1671.0
MultiObjective,2200,18,3000,-1573.0
MultiObjective,2200,18,5000,-1457.0
MultiObjective,2200,18,7000,-1364.0
MultiObjective,2200,18,10000,-1218.0
MultiObjective,2200,18,20000,-820.0
MultiObjective,2200,18,30000,-519.0
MultiObjective,2200,18,50000,-139.0
MultiObjective,2200,18,70000,-15.0
MultiObjective,2200,18,100000,778.7599999999999
MultiObjective,2200,19,100,-1911.0
MultiObjective,2200,19,200,-1859.0
MultiObjective,2200,19,500,-1798.0
MultiObjective,2200,19,1000,-1745.0
MultiObjective,2200,19,2000,-1610.0
MultiObjective,2200,19,3000,-1555.0
MultiObjective,2200,19,5000,-1456.0
MultiObjective,2200,19,7000,-1368.0
MultiObjective,2200,19,10000,-1217.0
MultiObjective,2200,19,20000,-789.0
MultiObjective,2200,19,30000,-501.0
MultiObjective,2200,19,50000,-130.0
MultiObjective,2200,19,70000,-7.0
MultiObjective,2200,19,100000,813.4599999999998
MultiObjective,2200,20,100,-1916.0
MultiObjective,2200,20,200,-1863.0
MultiObjective,2200,20,500,-1812.0
MultiObjective,2200,20,1000,-1771.0
MultiObjective,2200,20,2000,-1641.0
MultiObjective,2200,20,3000,-1587.0
MultiObjective,2200,20,5000,-1485.0
MultiObjective,2200,20,7000,-1382.0
MultiObjective,2200,20,10000,-1229.0
MultiObjective,2200,20,20000,-803.0
MultiObjective,2200,20,30000,-510.0
MultiObjective,2200,20,50000,-130.0
MultiObjective,2200,20,70000,-9.0
MultiObjective,2200,20,100000,834.4500000000004
MultiObjective,2200,21,100,-1909.0
MultiObjective,2200,21,200,-1846.0
MultiObjective,2200,21,500,-1769.0
MultiObjective,2200,21,1000,-1719.0
MultiObjective,2200,21,2000,-1595.0
MultiObjective,2200,21,3000,-1479.0
MultiObjective,2200,21,5000,-1371.0
MultiObjective,2200,21,7000,-1265.0
MultiObjective,2200,21,10000,-1149.0
MultiObjective,2200,21,20000,-762.0
MultiObjective,2200,21,30000,-475.0
MultiObjective,2200,21,50000,-127.0
MultiObjective,2200,21,70000,-6.0
MultiObjective,2200,21,100000,839.0100000000001
MultiObjective,2200,22,100,-1922.0
MultiObjective,2200,22,200,-1891.0
MultiObjective,2200,22,500,-1813.0
MultiObjective,2200,22,1000,-1760.0
MultiObjective,2200,22,2000,-1653.0
MultiObjective,2200,22,3000,-1575.0
MultiObjective,2200,22,5000,-1493.0
MultiObjective,2200,22,7000,-1376.0
